Year;LTE;Teatment;Temperature (?C);TONgkg;Cgkg;MolarCN;F14C;err ;d14C
1975;R94-1966;211;500;0.124731396;0.2698;2.523556022;;;
1979;R94-1966;211;500;0.121225617;0.2556;2.459876123;;;
1983;R94-1966;211;500;0.096307389;0.2098;2.541514922;;;
1987;R94-1966;211;500;0.101008841;0.2164;2.499451182;;;
2001;R94-1966;211;500;0.090710763;0.2324;2.988987456;;;
2007;R94-1966;211;500;0.092824263;0.2117;2.660762676;;;
2013;R94-1966;211;500;0.089303476;0.2182;2.850579608;;;
2019;R94-1966;211;500;0.091810284;0.2045;2.598655868;;;
1975;R94-1966;211;445;0.347215034;1.0417;3.500184462;;;
1979;R94-1966;211;445;0.33160396;0.9455;3.32650832;;;
1983;R94-1966;211;445;0.250410763;0.7266;3.385237875;;;
1987;R94-1966;211;445;0.269710284;0.7469;3.230812412;;;
2001;R94-1966;211;445;0.224419231;0.6122;3.182585249;;;
2007;R94-1966;211;445;0.217807389;0.6066;3.249201061;;;
2013;R94-1966;211;445;0.210336178;0.5873;3.257562914;;;
2019;R94-1966;211;445;0.211704724;0.6108;3.366008964;;;
1975;R94-1966;211;400;0.727324184;2.6083;4.183851895;0.9224;0.0029;-85.9
1979;R94-1966;211;400;0.67972919;2.3695;4.066938284;0.9208;0.003;-87.5
1983;R94-1966;211;400;0.569211273;2.0171;4.134287996;;;
1987;R94-1966;211;400;0.57560199;1.9682;3.989272749;;;
2001;R94-1966;211;400;0.500305133;1.7218;4.015083063;;;
2007;R94-1966;211;400;0.460610136;1.6213;4.106545899;;;
2013;R94-1966;211;400;0.446615504;1.566;4.090767078;;;
2019;R94-1966;211;400;0.450812195;1.605;4.153614344;;;
1975;R94-1966;211;325;1.469409449;7.919;6.287446525;0.9783;0.002;-30.5
1979;R94-1966;211;325;1.430313153;7.4351;6.064604326;0.9516;0.0019;-57
1983;R94-1966;211;325;1.249004171;6.2222;5.812016888;0.9229;0.0019;-85.4
1987;R94-1966;211;325;1.235635316;6.1357;5.793227641;0.9488;0.0019;-59.7
2001;R94-1966;211;325;1.076709323;5.2225;5.658831532;0.9181;0.0032;-90.2
2007;R94-1966;211;325;1.044416123;5.1445;5.746671787;0.94;0.0037;-68.5
2013;R94-1966;211;325;1.004236178;4.8244;5.604724057;0.8374;0.0027;-170.1
2019;R94-1966;211;325;1.008208284;4.8158;5.572691102;0.8718;0.0028;-136.1
1975;R94-1966;211;250;1.834069767;18.618;11.84306093;1.0023;0.0019;-6.8
1979;R94-1966;211;250;1.824434109;18.273;11.68499312;0.9226;0.0018;-85.7
1983;R94-1966;211;250;1.648907921;16.648;11.77910933;1.0079;0.0023;-1.2
1987;R94-1966;211;250;1.670422546;16.645;11.62530206;0.9773;0.0019;-31.6
2001;R94-1966;211;250;1.547628027;14.499;10.92995197;0.9834;0.0019;-25.5
2007;R94-1966;211;250;1.540400899;15.141;11.46746929;0.9844;0.0019;-24.5
2013;R94-1966;211;250;1.503025837;13.648;10.59374115;0.9727;0.0019;-36.1
2019;R94-1966;211;250;1.491230144;13.834;10.82305554;0.9709;0.0019;-37.8
1975;R94-1966;211;175;1.837223136;20.733;13.16579327;;;
1979;R94-1966;211;175;1.821867717;20.694;13.2517854;;;
1983;R94-1966;211;175;1.678117378;19.178;13.33299662;;;
1987;R94-1966;211;175;1.687673612;19.283;13.33008537;;;
2001;R94-1966;211;175;1.566026233;17.648;13.1475022;;;
2007;R94-1966;211;175;1.544823383;17.446;13.17540043;;;
2013;R94-1966;211;175;1.521968535;16.93;12.97771026;;;
2019;R94-1966;211;175;1.49520246;16.652;12.99311221;;;
1975;R94-1966;211;Soil;1.8477;20.712;13.07788061;1.0149;0.0019;5.7
1979;R94-1966;211;Soil;1.832903899;20.829;13.25792368;1.0106;0.0019;1.5
1983;R94-1966;211;Soil;1.658956098;19.086;13.42229613;1.0081;0.002;-1
1987;R94-1966;211;Soil;1.680741379;19.159;13.2989923;1.0063;0.0019;-2.8
2001;R94-1966;211;Soil;1.554959188;17.617;13.21781744;0.9991;0.0021;-9.9
2007;R94-1966;211;Soil;1.526147525;17.382;13.28770625;0.9938;0.0021;-15.1
2013;R94-1966;211;Soil;1.505061538;16.975;13.15837669;0.9849;0.0021;-24
2019;R94-1966;211;Soil;1.482317822;16.519;13.00137284;0.9776;0.0021;-31.2
1957;M2-1957;211;400;0.620403476;2.3571;4.432518688;0.7533;0.0032;-253.5
1957;M4-1957;211;400;0.533527856;2.7683;6.05344837;0.5903;0.0027;-415
1957;M6-1957;211;400;0.756715205;3.3035;5.09317549;0.6985;0.0029;-307.8
1962;M2-1957;211;400;0.646109756;2.41;4.351685824;0.8919;0.0029;-116.2
1962;M4-1957;211;400;0.39930544;2.0367;5.950707807;0.4474;0.0021;-556.6
1962;M6-1957;211;400;0.612726515;2.8645;5.45417341;0.708;0.0028;-298.4
1966;M2-1957;211;400;0.608817591;2.3023;4.411857849;0.9047;0.0028;-103.5
1966;M4-1957;211;400;0.398118768;1.8114;5.308214959;0.5457;0.0029;-459.3
1966;M6-1957;211;400;0.619114272;2.7356;5.154998807;;;
1971;M2-1957;211;400;0.635902982;2.2994;4.218620464;0.8812;0.0021;-126.7
1971;M4-1957;211;400;0.478803175;2.1933;5.344262811;0.444;0.0022;-560
1971;M6-1957;211;400;0.636919693;2.9017;5.315138951;0.7946;0.0026;-212.6
1976;M2-1957;211;400;0.628815205;2.1549;3.998074444;0.9086;0.0021;-99.6
1976;M4-1957;211;400;0.405124715;1.6789;4.834848616;0.5884;0.003;-416.9
1976;M6-1957;211;400;0.67850239;2.8033;4.820199181;0.7568;0.0032;-250.1
1980;M2-1957;211;400;0.578423301;2.1051;4.24593891;0.8837;0.002;-124.3
1980;M4-1957;211;400;0.39600239;1.8558;5.467391239;0.345;0.002;-658.1
1980;M6-1957;211;400;0.612621705;2.639;5.025668053;0.8442;0.0027;-163.5
1984;M2-1957;211;400;0.447803476;1.7739;4.621558591;;;
1984;M4-1957;211;400;0.348112671;1.9354;6.486309915;0.4808;0.0022;-523.6
